Date;Open;High;Low;Close
19700102;92.06;93.54;91.79;93
19700105;93;94.25;92.53;93.46
19700106;93.46;93.81;92.13;92.82
19700107;92.82;93.38;91.93;92.63
19700108;92.63;93.47;91.99;92.68
19700109;92.68;93.25;91.82;92.40
19700112;92.40;92.67;91.20;91.70
19700113;91.70;92.61;90.99;91.92
19700114;91.92;92.40;90.88;91.65
19700115;91.65;92.35;90.73;91.68
19700116;91.68;92.49;90.36;90.92
19700119;90.72;90.72;89.14;89.65
19700120;89.65;90.45;88.64;89.83
19700121;89.83;90.61;89.20;89.95
19700122;89.95;90.80;89.20;90.04
19700123;90.04;90.45;88.74;89.37
19700126;89.23;89.23;87.49;88.17
19700127;88.17;88.54;86.92;87.62
19700128;87.62;88.24;86.44;86.79
19700129;86.79;87.09;85.02;85.69
19700130;85.69;86.33;84.42;85.02
19700202;85.02;86.76;84.76;85.75
19700203;85.75;87.54;84.64;86.77
19700204;86.77;87.66;85.59;86.24
19700205;86.24;86.62;84.95;85.90
19700206;85.90;86.88;85.23;86.33
19700209;86.33;87.85;86.16;87.01
19700210;87.01;87.40;85.58;86.10
19700211;86.10;87.38;85.30;86.94
19700212;86.94;87.54;85.93;86.73
19700213;86.73;87.30;85.71;86.54
19700216;86.54;87.30;85.80;86.47
19700217;86.47;87.08;85.57;86.37
19700218;86.37;88.07;86.19;87.44
19700219;87.44;88.70;86.94;87.76
19700220;87.76;88.74;86.87;88.03
19700224;88.03;88.91;87.28;87.99
19700225;87.99;89.80;87.11;89.35
19700226;89.35;89.63;87.63;88.90
19700227;88.90;90.33;88.42;89.50
19700302;89.50;90.80;88.92;89.71
19700303;89.71;90.67;88.96;90.23
19700304;90.23;91.05;89.32;90.04
19700305;90.04;90.99;89.38;90
19700306;90;90.36;88.84;89.44
19700309;89.43;89.43;87.94;88.51
19700310;88.51;89.41;87.89;88.75
19700311;88.75;89.58;88.11;88.69
19700312;88.69;89.09;87.68;88.33
19700313;88.33;89.43;87.29;87.86
19700316;87.86;87.97;86.39;86.91
19700317;86.91;87.86;86.36;87.29
19700318;87.29;88.28;86.93;87.54
19700319;87.54;88.20;86.88;87.42
19700320;87.42;87.77;86.43;87.06
19700323;87.06;87.64;86.19;86.99
19700324;86.99;88.43;86.90;87.98
19700325;88.11;91.07;88.11;89.77
19700326;89.77;90.65;89.18;89.92
19700330;89.92;90.41;88.91;89.63
19700331;89.63;90.17;88.85;89.63
19700401;89.63;90.62;89.30;90.07
19700402;90.07;90.70;89.28;89.79
19700403;89.79;90.16;88.81;89.39
19700406;89.39;89.61;88.15;88.76
19700407;88.76;89.31;87.94;88.52
19700408;88.52;89.09;87.83;88.49
19700409;88.49;89.32;87.96;88.53
19700410;88.53;89.14;87.82;88.24
19700413;88.24;88.67;87.15;87.64
19700414;87.64;87.73;86.01;86.89
19700415;86.89;87.71;86.53;86.73
19700416;86.73;87.13;85.51;85.88
19700417;85.88;86.36;84.75;85.67
19700420;85.67;86.36;84.99;85.83
19700421;85.83;86.54;84.99;85.38
19700422;85.38;85.51;83.84;84.27
19700423;84.27;84.30;82.61;83.04
19700424;83.04;83.62;81.96;82.77
19700427;82.77;83.08;81.08;81.46
19700428;81.46;82.16;79.86;80.27
19700429;80.27;83.23;79.31;81.81
19700430;81.81;82.57;80.76;81.52
19700501;81.52;82.32;80.27;81.44
19700504;81.28;81.28;78.85;79.37
19700505;79.37;79.83;78.02;78.60
19700506;78.60;80.91;78.23;79.47
19700507;79.47;80.60;78.89;79.83
19700508;79.83;80.15;78.71;79.44
19700511;79.44;79.72;78.29;78.60
19700512;78.60;79.15;77.06;77.85
19700513;77.75;77.75;75.92;76.53
19700514;76.53;76.64;74.03;75.44
19700515;75.44;77.42;74.59;76.90
19700518;76.90;77.68;76.07;76.96
19700519;76.96;77.20;75.21;75.46
19700520;75.35;75.35;73.25;73.52
19700521;73.51;73.51;70.94;72.16
19700522;72.16;73.42;71.42;72.25
19700525;72.16;72.16;69.92;70.25
19700526;70.25;71.17;68.61;69.29
19700527;69.37;73.22;69.37;72.77
19700528;72.77;75.44;72.59;74.61
19700529;74.61;76.92;73.53;76.55
19700601;76.55;78.40;75.84;77.84
19700602;77.84;78.73;76.51;77.84
19700603;77.84;79.22;76.97;78.52
19700604;78.52;79.42;76.99;77.36
19700605;77.36;77.48;75.25;76.17
19700608;76.17;77.37;75.30;76.29
19700609;76.29;79.96;75.58;76.25
19700610;76.25;76.62;74.92;75.48
19700611;75.48;75.52;73.96;74.45
19700612;74.45;74.84;73.25;73.88
19700615;73.88;75.27;73.67;74.58
19700616;74.58;76.76;74.21;76.15
19700617;76.15;78.04;75.63;76
19700618;76;77.17;74.99;76.51
19700619;76.51;78.05;76.31;77.05
19700622;77.05;77.43;75.61;76.64
19700623;76.64;76.83;74.52;74.76
19700624;74.76;75.42;73.40;73.97
19700625;73.97;74.93;73.30;74.02
19700626;74.02;74.68;73.09;73.47
19700629;73.47;73.86;72.34;72.89
19700630;72.89;73.89;72.25;72.72
19700701;72.72;73.66;72.11;72.94
19700702;72.94;73.92;72.43;72.92
19700706;72.92;73.12;71.38;71.78
19700707;71.78;72.32;70.69;71.23
19700708;71.23;73.30;70.99;73
19700709;73;74.77;72.88;74.06
19700710;74.06;75.21;73.49;74.45
19700713;74.45;75.37;73.83;74.55
19700714;74.55;75.04;73.78;74.42
19700715;74.42;75.68;74.06;75.23
19700716;75.23;77.09;75.12;76.34
19700717;76.37;78.23;76.37;77.69
19700720;77.69;78.72;77.04;77.79
19700721;77.79;77.94;76.39;76.98
19700722;76.98;78.20;76.22;77.03
19700723;77.03;78.51;76.46;78
19700724;78;78.48;76.96;77.82
19700727;77.82;78.27;77.07;77.65
19700728;77.65;78.35;76.96;77.77
19700729;77.77;78.81;77.28;78.04
19700730;78.04;78.66;77.36;78.07
19700731;78.07;79.03;77.44;78.05
19700803;78.05;78.24;76.56;77.02
19700804;77.02;77.56;76.12;77.19
19700805;77.19;77.86;76.59;77.18
19700806;77.18;77.68;76.39;77.08
19700807;77.08;78.09;76.46;77.28
19700810;77.28;77.40;75.72;76.20
19700811;76.20;76.33;75.16;75.82
19700812;75.82;76.24;75.04;75.42
19700813;75.42;75.69;74.13;74.76
19700814;74.76;75.74;74.39;75.18
19700817;75.18;75.79;74.52;75.33
19700818;75.33;76.79;75.30;76.20
19700819;76.20;77.58;76.01;76.96
19700820;76.96;77.99;76.30;77.84
19700821;77.84;79.60;77.46;79.24
19700824;79.41;81.62;79.41;80.99
19700825;80.99;81.81;79.69;81.12
19700826;81.12;82.26;80.60;81.21
19700827;81.21;81.91;80.13;81.08
19700828;81.08;82.47;80.69;81.86
19700831;81.86;82.33;80.95;81.52
19700901;81.52;81.80;80.43;80.95
19700902;80.95;81.35;79.95;80.96
19700903;80.96;82.63;80.88;82.09
19700904;82.09;83.42;81.79;82.83
19700908;82.83;83.69;81.48;83.04
19700909;83.04;83.78;81.90;82.79
19700910;82.79;82.98;81.62;82.30
19700911;82.30;83.19;81.81;82.52
19700914;82.52;83.13;81.43;82.07
19700915;82.07;82.11;80.75;81.36
19700916;81.36;82.57;80.61;81.79
19700917;81.79;83.09;81.51;82.29
19700918;82.29;83.50;81.77;82.62
19700921;82.62;83.15;81.52;81.91
19700922;81.91;82.24;80.82;81.86
19700923;81.86;83.15;81.52;81.91
19700924;81.91;82.24;80.82;81.66
19700925;81.66;83.60;81.41;82.83
19700928;82.83;84.56;82.61;83.91
19700929;83.91;84.57;83.11;83.86
19700930;83.86;84.99;82.78;84.30
19701001;84.30;84.70;83.46;84.32
19701002;84.32;85.56;84.06;85.16
19701005;85.16;86.99;85.01;86.47
19701006;86.47;87.75;86.04;86.85
19701007;86.85;87.47;85.55;86.89
19701008;86.89;87.37;85.55;85.95
19701009;85.95;86.25;84.54;85.08
19701012;85.05;85.05;83.58;84.17
19701013;84.17;84.70;83.24;84.06
19701014;84.06;84.83;83.42;84.19
19701015;84.19;85.28;83.82;84.65
19701016;84.65;85.21;83.83;84.28
